timestamp,outdoor_temp_c,baseline_lighting_kw,baseline_equipment_kw,co2_generation_rate
2023-07-01T03:15,20.12,2.0,4.0,0.1
2023-07-01T03:20,20.07,2.0,4.0,0.1
2023-07-01T03:25,20.01,2.0,4.0,0.1
2023-07-01T03:30,19.95,2.0,4.0,0.1
2023-07-01T03:35,19.89,2.0,4.0,0.1
2023-07-01T03:40,19.83,2.0,4.0,0.1
2023-07-01T03:45,19.78,2.0,4.0,0.1
2023-07-01T03:50,19.72,2.0,4.0,0.1
2023-07-01T03:55,19.66,2.0,4.0,0.1
2023-07-01T04:00,19.6,2.0,4.0,0.1
2023-07-01T04:05,19.58,2.0,4.0,0.1
2023-07-01T04:10,19.55,2.0,4.0,0.1
2023-07-01T04:15,19.53,2.0,4.0,0.1
2023-07-01T04:20,19.5,2.0,4.0,0.1
2023-07-01T04:25,19.48,2.0,4.0,0.1
2023-07-01T04:30,19.45,2.0,4.0,0.1
2023-07-01T04:35,19.43,2.0,4.0,0.1
2023-07-01T04:40,19.4,2.0,4.0,0.1
2023-07-01T04:45,19.38,2.0,4.0,0.1
2023-07-01T04:50,19.35,2.0,4.0,0.1
2023-07-01T04:55,19.32,2.0,4.0,0.1
2023-07-01T05:00,19.3,2.0,4.0,0.1
2023-07-01T05:05,19.29,2.0,4.0,0.1
2023-07-01T05:10,19.28,2.0,4.0,0.1
2023-07-01T05:15,19.27,2.0,4.0,0.1
2023-07-01T05:20,19.27,2.0,4.0,0.1
2023-07-01T05:25,19.26,2.0,4.0,0.1
2023-07-01T05:30,19.25,2.0,4.0,0.1
2023-07-01T05:35,19.24,2.0,4.0,0.1
2023-07-01T05:40,19.23,2.0,4.0,0.1
2023-07-01T05:45,19.23,2.0,4.0,0.1
2023-07-01T05:50,19.22,2.0,4.0,0.1
2023-07-01T05:55,19.21,2.0,4.0,0.1
2023-07-01T06:00,19.2,2.0,4.0,0.1
2023-07-01T06:05,19.1,2.0,4.0,0.1
2023-07-01T06:10,19.0,2.0,4.0,0.1
2023-07-01T06:15,18.9,2.0,4.0,0.1
2023-07-01T06:20,18.8,2.0,4.0,0.1
2023-07-01T06:25,18.7,2.0,4.0,0.1
2023-07-01T06:30,18.6,2.0,4.0,0.1
2023-07-01T06:35,18.5,2.0,4.0,0.1
2023-07-01T06:40,18.4,2.0,4.0,0.1
2023-07-01T06:45,18.3,2.0,4.0,0.1
2023-07-01T06:50,18.2,2.0,4.0,0.1
2023-07-01T06:55,18.1,2.0,4.0,0.1
2023-07-01T07:00,18.0,2.0,4.0,0.1
2023-07-01T07:05,18.02,2.0,4.0,0.1
2023-07-01T07:10,18.03,2.0,4.0,0.1
2023-07-01T07:15,18.05,2.0,4.0,0.1
2023-07-01T07:20,18.07,2.0,4.0,0.1
2023-07-01T07:25,18.08,2.0,4.0,0.1
2023-07-01T07:30,18.1,2.0,4.0,0.1
2023-07-01T07:35,18.12,2.0,4.0,0.1
2023-07-01T07:40,18.13,2.0,4.0,0.1
2023-07-01T07:45,18.15,2.0,4.0,0.1
2023-07-01T07:50,18.17,2.0,4.0,0.1
2023-07-01T07:55,18.18,2.0,4.0,0.1
2023-07-01T08:00,18.2,12.0,20.0,1.0
2023-07-01T08:05,18.26,12.0,20.0,1.0
2023-07-01T08:10,18.32,12.0,20.0,1.0
2023-07-01T08:15,18.38,12.0,20.0,1.0
2023-07-01T08:20,18.43,12.0,20.0,1.0
2023-07-01T08:25,18.49,12.0,20.0,1.0
2023-07-01T08:30,18.55,12.0,20.0,1.0
2023-07-01T08:35,18.61,12.0,20.0,1.0
2023-07-01T08:40,18.67,12.0,20.0,1.0
2023-07-01T08:45,18.72,12.0,20.0,1.0
2023-07-01T08:50,18.78,12.0,20.0,1.0
2023-07-01T08:55,18.84,12.0,20.0,1.0
2023-07-01T09:00,18.9,12.0,20.0,1.0
2023-07-01T09:05,18.8,12.0,20.0,1.0
2023-07-01T09:10,18.7,12.0,20.0,1.0
2023-07-01T09:15,18.6,12.0,20.0,1.0
2023-07-01T09:20,18.5,12.0,20.0,1.0
2023-07-01T09:25,18.4,12.0,20.0,1.0
2023-07-01T09:30,18.3,12.0,20.0,1.0
2023-07-01T09:35,18.2,12.0,20.0,1.0
2023-07-01T09:40,18.1,12.0,20.0,1.0
2023-07-01T09:45,18.0,12.0,20.0,1.0
2023-07-01T09:50,17.9,12.0,20.0,1.0
2023-07-01T09:55,17.8,12.0,20.0,1.0
2023-07-01T10:00,17.7,12.0,20.0,1.0
2023-07-01T10:05,17.88,12.0,20.0,1.0
2023-07-01T10:10,18.07,12.0,20.0,1.0
2023-07-01T10:15,18.25,12.0,20.0,1.0
2023-07-01T10:20,18.43,12.0,20.0,1.0
2023-07-01T10:25,18.62,12.0,20.0,1.0
2023-07-01T10:30,18.8,12.0,20.0,1.0
2023-07-01T10:35,18.98,12.0,20.0,1.0
2023-07-01T10:40,19.17,12.0,20.0,1.0
2023-07-01T10:45,19.35,12.0,20.0,1.0
2023-07-01T10:50,19.53,12.0,20.0,1.0
2023-07-01T10:55,19.72,12.0,20.0,1.0
2023-07-01T11:00,19.9,12.0,20.0,1.0
2023-07-01T11:05,20.09,12.0,20.0,1.0
2023-07-01T11:10,20.28,12.0,20.0,1.0
2023-07-01T11:15,20.47,12.0,20.0,1.0
2023-07-01T11:20,20.67,12.0,20.0,1.0
2023-07-01T11:25,20.86,12.0,20.0,1.0
2023-07-01T11:30,21.05,12.0,20.0,1.0
2023-07-01T11:35,21.24,12.0,20.0,1.0
2023-07-01T11:40,21.43,12.0,20.0,1.0
2023-07-01T11:45,21.62,12.0,20.0,1.0
2023-07-01T11:50,21.82,12.0,20.0,1.0
2023-07-01T11:55,22.01,12.0,20.0,1.0
2023-07-01T12:00,22.2,12.0,20.0,1.0
2023-07-01T12:05,22.35,12.0,20.0,1.0
2023-07-01T12:10,22.5,12.0,20.0,1.0
2023-07-01T12:15,22.65,12.0,20.0,1.0
2023-07-01T12:20,22.8,12.0,20.0,1.0
2023-07-01T12:25,22.95,12.0,20.0,1.0
2023-07-01T12:30,23.1,12.0,20.0,1.0
2023-07-01T12:35,23.25,12.0,20.0,1.0
2023-07-01T12:40,23.4,12.0,20.0,1.0
2023-07-01T12:45,23.55,12.0,20.0,1.0
2023-07-01T12:50,23.7,12.0,20.0,1.0
2023-07-01T12:55,23.85,12.0,20.0,1.0
2023-07-01T13:00,24.0,12.0,20.0,1.0
2023-07-01T13:05,24.11,12.0,20.0,1.0
2023-07-01T13:10,24.22,12.0,20.0,1.0
2023-07-01T13:15,24.32,12.0,20.0,1.0
2023-07-01T13:20,24.43,12.0,20.0,1.0
2023-07-01T13:25,24.54,12.0,20.0,1.0
2023-07-01T13:30,24.65,12.0,20.0,1.0
2023-07-01T13:35,24.76,12.0,20.0,1.0
2023-07-01T13:40,24.87,12.0,20.0,1.0
2023-07-01T13:45,24.98,12.0,20.0,1.0
2023-07-01T13:50,25.08,12.0,20.0,1.0
2023-07-01T13:55,25.19,12.0,20.0,1.0
2023-07-01T14:00,25.3,12.0,20.0,1.0
2023-07-01T14:05,25.38,12.0,20.0,1.0
2023-07-01T14:10,25.47,12.0,20.0,1.0
2023-07-01T14:15,25.55,12.0,20.0,1.0
2023-07-01T14:20,25.63,12.0,20.0,1.0
2023-07-01T14:25,25.72,12.0,20.0,1.0
2023-07-01T14:30,25.8,12.0,20.0,1.0
2023-07-01T14:35,25.88,12.0,20.0,1.0
2023-07-01T14:40,25.97,12.0,20.0,1.0
2023-07-01T14:45,26.05,12.0,20.0,1.0
2023-07-01T14:50,26.13,12.0,20.0,1.0
2023-07-01T14:55,26.22,12.0,20.0,1.0
2023-07-01T15:00,26.3,12.0,20.0,1.0
2023-07-01T15:05,26.33,12.0,20.0,1.0
2023-07-01T15:10,26.37,12.0,20.0,1.0
2023-07-01T15:15,26.4,12.0,20.0,1.0
2023-07-01T15:20,26.43,12.0,20.0,1.0
2023-07-01T15:25,26.47,12.0,20.0,1.0
2023-07-01T15:30,26.5,12.0,20.0,1.0
2023-07-01T15:35,26.53,12.0,20.0,1.0
2023-07-01T15:40,26.57,12.0,20.0,1.0
2023-07-01T15:45,26.6,12.0,20.0,1.0
2023-07-01T15:50,26.63,12.0,20.0,1.0
2023-07-01T15:55,26.67,12.0,20.0,1.0
2023-07-01T16:00,26.7,12.0,20.0,1.0
2023-07-01T16:05,26.72,12.0,20.0,1.0
2023-07-01T16:10,26.73,12.0,20.0,1.0
2023-07-01T16:15,26.75,12.0,20.0,1.0
2023-07-01T16:20,26.77,12.0,20.0,1.0
2023-07-01T16:25,26.78,12.0,20.0,1.0
2023-07-01T16:30,26.8,12.0,20.0,1.0
2023-07-01T16:35,26.82,12.0,20.0,1.0
2023-07-01T16:40,26.83,12.0,20.0,1.0
2023-07-01T16:45,26.85,12.0,20.0,1.0
2023-07-01T16:50,26.87,12.0,20.0,1.0
2023-07-01T16:55,26.88,12.0,20.0,1.0
2023-07-01T17:00,26.9,12.0,20.0,1.0
2023-07-01T17:05,26.88,12.0,20.0,1.0
2023-07-01T17:10,26.85,12.0,20.0,1.0
2023-07-01T17:15,26.82,12.0,20.0,1.0
2023-07-01T17:20,26.8,12.0,20.0,1.0
2023-07-01T17:25,26.77,12.0,20.0,1.0
2023-07-01T17:30,26.75,12.0,20.0,1.0
2023-07-01T17:35,26.73,12.0,20.0,1.0
2023-07-01T17:40,26.7,12.0,20.0,1.0
2023-07-01T17:45,26.68,12.0,20.0,1.0
2023-07-01T17:50,26.65,12.0,20.0,1.0
2023-07-01T17:55,26.62,12.0,20.0,1.0
2023-07-01T18:00,26.6,2.0,4.0,0.1
2023-07-01T18:05,26.6,2.0,4.0,0.1
2023-07-01T18:10,26.6,2.0,4.0,0.1
2023-07-01T18:15,26.6,2.0,4.0,0.1
2023-07-01T18:20,26.6,2.0,4.0,0.1
2023-07-01T18:25,26.6,2.0,4.0,0.1
2023-07-01T18:30,26.6,2.0,4.0,0.1
2023-07-01T18:35,26.6,2.0,4.0,0.1
2023-07-01T18:40,26.6,2.0,4.0,0.1
2023-07-01T18:45,26.6,2.0,4.0,0.1
2023-07-01T18:50,26.6,2.0,4.0,0.1
2023-07-01T18:55,26.6,2.0,4.0,0.1
2023-07-01T19:00,26.6,2.0,4.0,0.1
2023-07-01T19:05,26.57,2.0,4.0,0.1
2023-07-01T19:10,26.53,2.0,4.0,0.1
2023-07-01T19:15,26.5,2.0,4.0,0.1
2023-07-01T19:20,26.47,2.0,4.0,0.1
2023-07-01T19:25,26.43,2.0,4.0,0.1
2023-07-01T19:30,26.4,2.0,4.0,0.1
2023-07-01T19:35,26.37,2.0,4.0,0.1
2023-07-01T19:40,26.33,2.0,4.0,0.1
2023-07-01T19:45,26.3,2.0,4.0,0.1
2023-07-01T19:50,26.27,2.0,4.0,0.1
2023-07-01T19:55,26.23,2.0,4.0,0.1
2023-07-01T20:00,26.2,2.0,4.0,0.1
2023-07-01T20:05,26.16,2.0,4.0,0.1
2023-07-01T20:10,26.12,2.0,4.0,0.1
2023-07-01T20:15,26.07,2.0,4.0,0.1
2023-07-01T20:20,26.03,2.0,4.0,0.1
2023-07-01T20:25,25.99,2.0,4.0,0.1
2023-07-01T20:30,25.95,2.0,4.0,0.1
2023-07-01T20:35,25.91,2.0,4.0,0.1
2023-07-01T20:40,25.87,2.0,4.0,0.1
2023-07-01T20:45,25.82,2.0,4.0,0.1
2023-07-01T20:50,25.78,2.0,4.0,0.1
2023-07-01T20:55,25.74,2.0,4.0,0.1
2023-07-01T21:00,25.7,2.0,4.0,0.1
2023-07-01T21:05,25.59,2.0,4.0,0.1
2023-07-01T21:10,25.48,2.0,4.0,0.1
2023-07-01T21:15,25.38,2.0,4.0,0.1
2023-07-01T21:20,25.27,2.0,4.0,0.1
2023-07-01T21:25,25.16,2.0,4.0,0.1
2023-07-01T21:30,25.05,2.0,4.0,0.1
2023-07-01T21:35,24.94,2.0,4.0,0.1
2023-07-01T21:40,24.83,2.0,4.0,0.1
2023-07-01T21:45,24.72,2.0,4.0,0.1
2023-07-01T21:50,24.62,2.0,4.0,0.1
2023-07-01T21:55,24.51,2.0,4.0,0.1
2023-07-01T22:00,24.4,2.0,4.0,0.1
2023-07-01T22:05,24.3,2.0,4.0,0.1
2023-07-01T22:10,24.2,2.0,4.0,0.1
2023-07-01T22:15,24.1,2.0,4.0,0.1
2023-07-01T22:20,24.0,2.0,4.0,0.1
2023-07-01T22:25,23.9,2.0,4.0,0.1
2023-07-01T22:30,23.8,2.0,4.0,0.1
2023-07-01T22:35,23.7,2.0,4.0,0.1
2023-07-01T22:40,23.6,2.0,4.0,0.1
2023-07-01T22:45,23.5,2.0,4.0,0.1
2023-07-01T22:50,23.4,2.0,4.0,0.1
2023-07-01T22:55,23.3,2.0,4.0,0.1
2023-07-01T23:00,23.2,2.0,4.0,0.1
2023-07-01T23:05,23.13,2.0,4.0,0.1
2023-07-01T23:10,23.07,2.0,4.0,0.1
2023-07-01T23:15,23.0,2.0,4.0,0.1
2023-07-01T23:20,22.93,2.0,4.0,0.1
2023-07-01T23:25,22.87,2.0,4.0,0.1
2023-07-01T23:30,22.8,2.0,4.0,0.1
2023-07-01T23:35,22.73,2.0,4.0,0.1
2023-07-01T23:40,22.67,2.0,4.0,0.1
2023-07-01T23:45,22.6,2.0,4.0,0.1
2023-07-01T23:50,22.53,2.0,4.0,0.1
2023-07-01T23:55,22.47,2.0,4.0,0.1
2023-07-02T00:00,22.4,2.0,4.0,0.1
2023-07-02T00:05,22.32,2.0,4.0,0.1
2023-07-02T00:10,22.23,2.0,4.0,0.1
2023-07-02T00:15,22.15,2.0,4.0,0.1
2023-07-02T00:20,22.07,2.0,4.0,0.1
2023-07-02T00:25,21.98,2.0,4.0,0.1
2023-07-02T00:30,21.9,2.0,4.0,0.1
2023-07-02T00:35,21.82,2.0,4.0,0.1
2023-07-02T00:40,21.73,2.0,4.0,0.1
2023-07-02T00:45,21.65,2.0,4.0,0.1
2023-07-02T00:50,21.57,2.0,4.0,0.1
2023-07-02T00:55,21.48,2.0,4.0,0.1
2023-07-02T01:00,21.4,2.0,4.0,0.1
2023-07-02T01:05,21.39,2.0,4.0,0.1
2023-07-02T01:10,21.38,2.0,4.0,0.1
2023-07-02T01:15,21.38,2.0,4.0,0.1
2023-07-02T01:20,21.37,2.0,4.0,0.1
2023-07-02T01:25,21.36,2.0,4.0,0.1
2023-07-02T01:30,21.35,2.0,4.0,0.1
2023-07-02T01:35,21.34,2.0,4.0,0.1
2023-07-02T01:40,21.33,2.0,4.0,0.1
2023-07-02T01:45,21.32,2.0,4.0,0.1
2023-07-02T01:50,21.32,2.0,4.0,0.1
2023-07-02T01:55,21.31,2.0,4.0,0.1
2023-07-02T02:00,21.3,2.0,4.0,0.1
2023-07-02T02:05,21.29,2.0,4.0,0.1
2023-07-02T02:10,21.28,2.0,4.0,0.1
2023-07-02T02:15,21.27,2.0,4.0,0.1
2023-07-02T02:20,21.27,2.0,4.0,0.1
2023-07-02T02:25,21.26,2.0,4.0,0.1
2023-07-02T02:30,21.25,2.0,4.0,0.1
2023-07-02T02:35,21.24,2.0,4.0,0.1
2023-07-02T02:40,21.23,2.0,4.0,0.1
2023-07-02T02:45,21.23,2.0,4.0,0.1
2023-07-02T02:50,21.22,2.0,4.0,0.1
2023-07-02T02:55,21.21,2.0,4.0,0.1
2023-07-02T03:00,21.2,2.0,4.0,0.1
2023-07-02T03:05,21.16,2.0,4.0,0.1
2023-07-02T03:10,21.12,2.0,4.0,0.1
2023-07-02T03:15,21.07,2.0,4.0,0.1
2023-07-02T03:20,21.03,2.0,4.0,0.1
2023-07-02T03:25,20.99,2.0,4.0,0.1
2023-07-02T03:30,20.95,2.0,4.0,0.1
2023-07-02T03:35,20.91,2.0,4.0,0.1
2023-07-02T03:40,20.87,2.0,4.0,0.1
2023-07-02T03:45,20.82,2.0,4.0,0.1
2023-07-02T03:50,20.78,2.0,4.0,0.1
2023-07-02T03:55,20.74,2.0,4.0,0.1
2023-07-02T04:00,20.7,2.0,4.0,0.1
2023-07-02T04:05,20.69,2.0,4.0,0.1
2023-07-02T04:10,20.68,2.0,4.0,0.1
2023-07-02T04:15,20.68,2.0,4.0,0.1
2023-07-02T04:20,20.67,2.0,4.0,0.1
2023-07-02T04:25,20.66,2.0,4.0,0.1
2023-07-02T04:30,20.65,2.0,4.0,0.1
2023-07-02T04:35,20.64,2.0,4.0,0.1
2023-07-02T04:40,20.63,2.0,4.0,0.1
2023-07-02T04:45,20.62,2.0,4.0,0.1
2023-07-02T04:50,20.62,2.0,4.0,0.1
2023-07-02T04:55,20.61,2.0,4.0,0.1
2023-07-02T05:00,20.6,2.0,4.0,0.1
2023-07-02T05:05,20.58,2.0,4.0,0.1
2023-07-02T05:10,20.57,2.0,4.0,0.1
2023-07-02T05:15,20.55,2.0,4.0,0.1
2023-07-02T05:20,20.53,2.0,4.0,0.1
2023-07-02T05:25,20.52,2.0,4.0,0.1
2023-07-02T05:30,20.5,2.0,4.0,0.1
2023-07-02T05:35,20.48,2.0,4.0,0.1
2023-07-02T05:40,20.47,2.0,4.0,0.1
2023-07-02T05:45,20.45,2.0,4.0,0.1
2023-07-02T05:50,20.43,2.0,4.0,0.1
2023-07-02T05:55,20.42,2.0,4.0,0.1
2023-07-02T06:00,20.4,2.0,4.0,0.1
2023-07-02T06:05,20.42,2.0,4.0,0.1
2023-07-02T06:10,20.43,2.0,4.0,0.1
2023-07-02T06:15,20.45,2.0,4.0,0.1
2023-07-02T06:20,20.47,2.0,4.0,0.1
2023-07-02T06:25,20.48,2.0,4.0,0.1
2023-07-02T06:30,20.5,2.0,4.0,0.1
2023-07-02T06:35,20.52,2.0,4.0,0.1
2023-07-02T06:40,20.53,2.0,4.0,0.1
2023-07-02T06:45,20.55,2.0,4.0,0.1
2023-07-02T06:50,20.57,2.0,4.0,0.1
2023-07-02T06:55,20.58,2.0,4.0,0.1
2023-07-02T07:00,20.6,2.0,4.0,0.1
2023-07-02T07:05,20.63,2.0,4.0,0.1
2023-07-02T07:10,20.67,2.0,4.0,0.1
2023-07-02T07:15,20.7,2.0,4.0,0.1
2023-07-02T07:20,20.73,2.0,4.0,0.1
2023-07-02T07:25,20.77,2.0,4.0,0.1
2023-07-02T07:30,20.8,2.0,4.0,0.1
2023-07-02T07:35,20.83,2.0,4.0,0.1
2023-07-02T07:40,20.87,2.0,4.0,0.1
2023-07-02T07:45,20.9,2.0,4.0,0.1
2023-07-02T07:50,20.93,2.0,4.0,0.1
2023-07-02T07:55,20.97,2.0,4.0,0.1
2023-07-02T08:00,21.0,12.0,20.0,1.0
2023-07-02T08:05,20.99,12.0,20.0,1.0
2023-07-02T08:10,20.98,12.0,20.0,1.0
2023-07-02T08:15,20.98,12.0,20.0,1.0
2023-07-02T08:20,20.97,12.0,20.0,1.0
2023-07-02T08:25,20.96,12.0,20.0,1.0
2023-07-02T08:30,20.95,12.0,20.0,1.0
2023-07-02T08:35,20.94,12.0,20.0,1.0
2023-07-02T08:40,20.93,12.0,20.0,1.0
2023-07-02T08:45,20.92,12.0,20.0,1.0
2023-07-02T08:50,20.92,12.0,20.0,1.0
2023-07-02T08:55,20.91,12.0,20.0,1.0
2023-07-02T09:00,20.9,12.0,20.0,1.0
2023-07-02T09:05,20.9,12.0,20.0,1.0
2023-07-02T09:10,20.9,12.0,20.0,1.0
2023-07-02T09:15,20.9,12.0,20.0,1.0
2023-07-02T09:20,20.9,12.0,20.0,1.0
2023-07-02T09:25,20.9,12.0,20.0,1.0
2023-07-02T09:30,20.9,12.0,20.0,1.0
2023-07-02T09:35,20.9,12.0,20.0,1.0
2023-07-02T09:40,20.9,12.0,20.0,1.0
2023-07-02T09:45,20.9,12.0,20.0,1.0
2023-07-02T09:50,20.9,12.0,20.0,1.0
2023-07-02T09:55,20.9,12.0,20.0,1.0
2023-07-02T10:00,20.9,12.0,20.0,1.0
2023-07-02T10:05,20.92,12.0,20.0,1.0
2023-07-02T10:10,20.93,12.0,20.0,1.0
2023-07-02T10:15,20.95,12.0,20.0,1.0
2023-07-02T10:20,20.97,12.0,20.0,1.0
2023-07-02T10:25,20.98,12.0,20.0,1.0
2023-07-02T10:30,21.0,12.0,20.0,1.0
2023-07-02T10:35,21.02,12.0,20.0,1.0
2023-07-02T10:40,21.03,12.0,20.0,1.0
2023-07-02T10:45,21.05,12.0,20.0,1.0
2023-07-02T10:50,21.07,12.0,20.0,1.0
2023-07-02T10:55,21.08,12.0,20.0,1.0
2023-07-02T11:00,21.1,12.0,20.0,1.0
2023-07-02T11:05,21.2,12.0,20.0,1.0
2023-07-02T11:10,21.3,12.0,20.0,1.0
2023-07-02T11:15,21.4,12.0,20.0,1.0
2023-07-02T11:20,21.5,12.0,20.0,1.0
2023-07-02T11:25,21.6,12.0,20.0,1.0
2023-07-02T11:30,21.7,12.0,20.0,1.0
2023-07-02T11:35,21.8,12.0,20.0,1.0
2023-07-02T11:40,21.9,12.0,20.0,1.0
2023-07-02T11:45,22.0,12.0,20.0,1.0
2023-07-02T11:50,22.1,12.0,20.0,1.0
2023-07-02T11:55,22.2,12.0,20.0,1.0
2023-07-02T12:00,22.3,12.0,20.0,1.0
2023-07-02T12:05,22.43,12.0,20.0,1.0
2023-07-02T12:10,22.57,12.0,20.0,1.0
2023-07-02T12:15,22.7,12.0,20.0,1.0
2023-07-02T12:20,22.83,12.0,20.0,1.0
2023-07-02T12:25,22.97,12.0,20.0,1.0
2023-07-02T12:30,23.1,12.0,20.0,1.0
2023-07-02T12:35,23.23,12.0,20.0,1.0
2023-07-02T12:40,23.37,12.0,20.0,1.0
2023-07-02T12:45,23.5,12.0,20.0,1.0
2023-07-02T12:50,23.63,12.0,20.0,1.0
2023-07-02T12:55,23.77,12.0,20.0,1.0
2023-07-02T13:00,23.9,12.0,20.0,1.0
2023-07-02T13:05,24.05,12.0,20.0,1.0
2023-07-02T13:10,24.2,12.0,20.0,1.0
2023-07-02T13:15,24.35,12.0,20.0,1.0
2023-07-02T13:20,24.5,12.0,20.0,1.0
2023-07-02T13:25,24.65,12.0,20.0,1.0
2023-07-02T13:30,24.8,12.0,20.0,1.0
2023-07-02T13:35,24.95,12.0,20.0,1.0
2023-07-02T13:40,25.1,12.0,20.0,1.0
2023-07-02T13:45,25.25,12.0,20.0,1.0
2023-07-02T13:50,25.4,12.0,20.0,1.0
2023-07-02T13:55,25.55,12.0,20.0,1.0
2023-07-02T14:00,25.7,12.0,20.0,1.0
2023-07-02T14:05,25.84,12.0,20.0,1.0
2023-07-02T14:10,25.98,12.0,20.0,1.0
2023-07-02T14:15,26.12,12.0,20.0,1.0
2023-07-02T14:20,26.27,12.0,20.0,1.0
2023-07-02T14:25,26.41,12.0,20.0,1.0
2023-07-02T14:30,26.55,12.0,20.0,1.0
2023-07-02T14:35,26.69,12.0,20.0,1.0
2023-07-02T14:40,26.83,12.0,20.0,1.0
2023-07-02T14:45,26.97,12.0,20.0,1.0
2023-07-02T14:50,27.12,12.0,20.0,1.0
2023-07-02T14:55,27.26,12.0,20.0,1.0
2023-07-02T15:00,27.4,12.0,20.0,1.0
2023-07-02T15:05,27.54,12.0,20.0,1.0
2023-07-02T15:10,27.68,12.0,20.0,1.0
2023-07-02T15:15,27.82,12.0,20.0,1.0
2023-07-02T15:20,27.97,12.0,20.0,1.0
2023-07-02T15:25,28.11,12.0,20.0,1.0
2023-07-02T15:30,28.25,12.0,20.0,1.0
2023-07-02T15:35,28.39,12.0,20.0,1.0
2023-07-02T15:40,28.53,12.0,20.0,1.0
2023-07-02T15:45,28.68,12.0,20.0,1.0
2023-07-02T15:50,28.82,12.0,20.0,1.0
2023-07-02T15:55,28.96,12.0,20.0,1.0
2023-07-02T16:00,29.1,12.0,20.0,1.0
2023-07-02T16:05,29.21,12.0,20.0,1.0
2023-07-02T16:10,29.32,12.0,20.0,1.0
2023-07-02T16:15,29.43,12.0,20.0,1.0
2023-07-02T16:20,29.53,12.0,20.0,1.0
2023-07-02T16:25,29.64,12.0,20.0,1.0
2023-07-02T16:30,29.75,12.0,20.0,1.0
2023-07-02T16:35,29.86,12.0,20.0,1.0
2023-07-02T16:40,29.97,12.0,20.0,1.0
2023-07-02T16:45,30.07,12.0,20.0,1.0
2023-07-02T16:50,30.18,12.0,20.0,1.0
2023-07-02T16:55,30.29,12.0,20.0,1.0
2023-07-02T17:00,30.4,12.0,20.0,1.0
2023-07-02T17:05,30.47,12.0,20.0,1.0
2023-07-02T17:10,30.55,12.0,20.0,1.0
2023-07-02T17:15,30.62,12.0,20.0,1.0
2023-07-02T17:20,30.7,12.0,20.0,1.0
2023-07-02T17:25,30.77,12.0,20.0,1.0
2023-07-02T17:30,30.85,12.0,20.0,1.0
2023-07-02T17:35,30.93,12.0,20.0,1.0
2023-07-02T17:40,31.0,12.0,20.0,1.0
2023-07-02T17:45,31.07,12.0,20.0,1.0
2023-07-02T17:50,31.15,12.0,20.0,1.0
2023-07-02T17:55,31.23,12.0,20.0,1.0
2023-07-02T18:00,31.3,2.0,4.0,0.1
2023-07-02T18:05,31.12,2.0,4.0,0.1
2023-07-02T18:10,30.95,2.0,4.0,0.1
2023-07-02T18:15,30.77,2.0,4.0,0.1
2023-07-02T18:20,30.6,2.0,4.0,0.1
2023-07-02T18:25,30.43,2.0,4.0,0.1
2023-07-02T18:30,30.25,2.0,4.0,0.1
2023-07-02T18:35,30.07,2.0,4.0,0.1
2023-07-02T18:40,29.9,2.0,4.0,0.1
2023-07-02T18:45,29.73,2.0,4.0,0.1
2023-07-02T18:50,29.55,2.0,4.0,0.1
